N°,Question_Litterale,Propo 1,Propo 2,Propo 3,Propo 4,Bonne_Reponse,Rep_donnee,Niveau,N° famille,Nom famille,Commentaire,Ecran
00001,"SYMBOLE DE LA MODULATION D'AMPLITUDE, BANDE LATERALE UNIQUE,
PORTEUSE REDUITE, 
SIGNAL ANALOGIQUE, TELEPHONIE ?",R3D,R3E,J3E,F3E,2,,0,0,Questions entrainement,,
00002,"SYMBOLE DE LA MODULATION D'AMPLITUDE, BANDE LATERALE UNIQUE,
PORTEUSE REDUITE, 
SIGNAL ANALOGIQUE, TRANSMISSIONS DE DONNEES ?",J3D,R3E,R3D,A3D,3,,0,0,Questions entrainement,,
00003,"SYMBOLE DE LA MODULATION D'AMPLITUDE, BANDE LATERALE UNIQUE,
PORTEUSE SUPPRIMEE, AVEC EMPLOI D'UNE SOUS PORTEUSE MODULANTE,
FAC SIMILE ?",J1C,J3C,J2C,J7B,3,,0,0,Questions entrainement,,
00004,"SYMBOLE DE LA MODULATION D'AMPLITUDE, BANDE LATERALE UNIQUE,
PORTEUSE SUPPRIMEE, PLUSIEURS VOIES CONTENANT DE L'INFORMATION NUMERIQUE,
TELEGRAPHIE POUR RECEPTION AUTOMATIQUE ?",J7B,J3B,A1B,A2B,1,,0,0,Questions entrainement,,
00005,"SYMBOLE DE LA MODULATION D'AMPLITUDE, BANDE LATERALE UNIQUE,
PORTEUSE SUPPRIMEE, SIGNAL ANALOGIQUE, FAC SIMILE ?",J7B,J3C,A3C,J2C,2,,0,0,Questions entrainement,,
00006,"SYMBOLE DE LA MODULATION D'AMPLITUDE, BANDE LATERALE UNIQUE,
PORTEUSE SUPPRIMEE, SIGNAL ANALOGIQUE, TELEPHONIE ?",A3E,F3E,G3E,J3E,4,,0,0,Questions entrainement,,
00007,"SYMBOLE DE LA MODULATION D'AMPLITUDE, BANDE LATERALE UNIQUE,
PORTEUSE SUPPRIMEE, TELEGRAPHIE POUR RECEPTION AUDITIVE,
AVEC EMPLOI D'UNE SOUS PORTEUSE MODULANTE ?",J1A,J3A,J7B,J2A,4,,0,0,Questions entrainement,,
00008,"SYMBOLE DE LA MODULATION D'AMPLITUDE, BANDE LATERALE UNIQUE,
PORTEUSE SUPPRIMEE, TELEGRAPHIE POUR RECEPTION AUTOMATIQUE,
AVEC EMPLOI D'UNE SOUS PORTEUSE MODULANTE ?",J2B,J1B,J7B,J2A,1,,0,0,Questions entrainement,,
00009,"SYMBOLE DE LA MODULATION D'AMPLITUDE, BANDE LATERALE UNIQUE, 
SANS EMPLOI D'UNE SOUS PORTEUSE MODULANTE,
TRANSMISSIONS DE DONNEES ?",J2D,J1D,J3D,J7B,2,,0,0,Questions entrainement,,
00010,"SYMBOLE DE LA MODULATION D'AMPLITUDE, DOUBLE BANDE LATERALE, 
SANS EMPLOI D'UNE SOUS PORTEUSE MODULANTE,
TRANSMISSION DE DONNEES ?",A1D,A2D,A1A,A1B,1,,0,0,Questions entrainement,,
00011,"SYMBOLE DE LA MODULATION D'AMPLITUDE, DOUBLE BANDE LATERALE, 
SIGNAL ANALOGIQUE, FAC SIMILE ?",F3C,A1C,A2C,A3C,4,,0,0,Questions entrainement,,
00012,"SYMBOLE DE LA MODULATION D'AMPLITUDE, DOUBLE BANDE LATERALE, 
SIGNAL ANALOGIQUE, TELEPHONIE ?",G3E,A3E,F3E,F3C,2,,0,0,Questions entrainement,,
00013,"SYMBOLE DE LA MODULATION D'AMPLITUDE, DOUBLE BANDE LATERALE, 
SIGNAL ANALOGIQUE, TELEVISION ?",G3F,F3F,G1F,A3F,4,,0,0,Questions entrainement,,
00014,"SYMBOLE DE LA MODULATION D'AMPLITUDE, DOUBLE BANDE LATERALE, 
TELEGRAPHIE POUR RECEPTION AUDITIVE,
AVEC EMPLOI D'UNE SOUS PORTEUSE MODULANTE ?",A1B,A2B,A1A,A2A,4,,0,0,Questions entrainement,,
00015,"SYMBOLE DE LA MODULATION D'AMPLITUDE, DOUBLE BANDE LATERALE, 
TELEGRAPHIE POUR RECEPTION AUDITIVE,
SANS EMPLOI D'UNE SOUS PORTEUSE MODULANTE ?",A1B,A1A,A2B,A3C,2,,0,0,Questions entrainement,,
00016,"SYMBOLE DE LA MODULATION D'AMPLITUDE, DOUBLE BANDE LATERALE, 
TELEGRAPHIE POUR RECEPTION AUTOMATIQUE,
AVEC EMPLOI D'UNE SOUS PORTEUSE MODULANTE ?",A1B,A2B,A1A,A2A,2,,0,0,Questions entrainement,,
00017,"SYMBOLE DE LA MODULATION D'AMPLITUDE, DOUBLE BANDE LATERALE, 
TELEGRAPHIE POUR RECEPTION AUTOMATIQUE,
SANS EMPLOI D'UNE SOUS PORTEUSE MODULANTE ?",A1A,A2B,A1B,A2A,3,,0,0,Questions entrainement,,
00018,"SYMBOLE DE LA MODULATION D'AMPLITUDE, DOUBLE BANDE LATERALE, 
TRANSMISSION DE DONNEES,
AVEC EMPLOI D'UNE SOUS PORTEUSE MODULANTE ?",A1D,A2D,A3D,F1D,2,,0,0,Questions entrainement,,
00019,"SYMBOLE DE LA MODULATION D'AMPLITUDE, BANDE LATERALE RESIDUELLE, 
SIGNAL ANALOGIQUE,
TELEVISION ?",C3F,F3F,G3F,A3F,1,,0,0,Questions entrainement,,
